patron,registros,porcentaje
F: sin patrón especial de cero,159616,95.73207302737326
A: sembrada > 0 / cosechada = 0 / producción = 0 / rendimiento = 0,7112,4.265527913058081
B: todas las métricas = 0,4,0.0023990595686490894
