Código Dane departamento,Departamento,Código Dane municipio,Municipio,Código del cultivo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,area_cosechada_sobre_sembrada,diferencia_hectareas
5,Antioquia,5138,Cañasgordas,1060200,Frijol,Frijol,2024,2024B,Transitorio,"20,00","35,00","49,00","1,40",1.75,15.0
5,Antioquia,5138,Cañasgordas,1060200,Frijol,Frijol,2025,2025A,Transitorio,"30,00","45,00","44,06","0,98",1.5,15.0
5,Antioquia,5138,Cañasgordas,1010402,Maíz,Maíz amarillo tradicional,2022,2022A,Transitorio,"90,00","114,00","159,60","1,40",1.2666666666666666,24.0
5,Antioquia,5138,Cañasgordas,1010402,Maíz,Maíz amarillo tradicional,2023,2023A,Transitorio,"80,00","114,00","159,60","1,40",1.425,34.0
5,Antioquia,5138,Cañasgordas,1010402,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"50,00","80,00","112,00","1,40",1.6,30.0
5,Antioquia,5138,Cañasgordas,1010402,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"45,00","105,00","147,00","1,40",2.3333333333333335,60.0
5,Antioquia,5138,Cañasgordas,1010402,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"33,00","90,00","126,00","1,40",2.727272727272727,57.0
5,Antioquia,5142,Caracolí,1060200,Frijol,Frijol,2022,2022B,Transitorio,"1,50","5,50","4,40","0,80",3.6666666666666665,4.0
5,Antioquia,5142,Caracolí,1060200,Frijol,Frijol,2023,2023B,Transitorio,"1,50","5,00","4,00","0,80",3.3333333333333335,3.5
5,Antioquia,5142,Caracolí,1060200,Frijol,Frijol,2024,2024B,Transitorio,"1,50","4,80","3,69","0,77",3.1999999999999997,3.3
5,Antioquia,5142,Caracolí,1010402,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"1,20","7,00","21,00","3,00",5.833333333333334,5.8
5,Antioquia,5142,Caracolí,1010402,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"1,00","7,00","6,30","0,90",7.0,6.0
5,Antioquia,5142,Caracolí,1010402,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"1,00","8,00","7,20","0,90",8.0,7.0
5,Antioquia,5142,Caracolí,1010404,Maíz,Maíz blanco tradicional,2022,2022B,Transitorio,"2,00","3,00","7,50","2,50",1.5,1.0
5,Antioquia,5142,Caracolí,1010404,Maíz,Maíz blanco tradicional,2023,2023B,Transitorio,"2,00","3,00","2,70","0,90",1.5,1.0
5,Antioquia,5142,Caracolí,1010404,Maíz,Maíz blanco tradicional,2024,2024B,Transitorio,"2,00","3,00","2,70","0,90",1.5,1.0
5,Antioquia,5142,Caracolí,1081001,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","9,00","54,00","6,00",inf,9.0
5,Antioquia,5142,Caracolí,1081001,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"0,00","9,00","56,70","6,30",inf,9.0
5,Antioquia,5142,Caracolí,1081001,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"0,00","9,00","56,70","6,30",inf,9.0
5,Antioquia,5142,Caracolí,1081001,Yuca,Yuca consumo en fresco,2025,2025B,Transitorio,"0,00","5,00","31,50","6,30",inf,5.0
5,Antioquia,5145,Caramanta,1060200,Frijol,Frijol,2022,2022A,Transitorio,"12,00","25,00","40,00","1,60",2.0833333333333335,13.0
5,Antioquia,5145,Caramanta,1060200,Frijol,Frijol,2022,2022B,Transitorio,"8,00","10,00","16,00","1,60",1.25,2.0
5,Antioquia,5145,Caramanta,1060200,Frijol,Frijol,2023,2023B,Transitorio,"9,00","13,80","22,08","1,60",1.5333333333333334,4.800000000000001
5,Antioquia,5145,Caramanta,1060200,Frijol,Frijol,2024,2024B,Transitorio,"9,00","13,50","20,77","1,54",1.5,4.5
5,Antioquia,5145,Caramanta,1060200,Frijol,Frijol,2025,2025B,Transitorio,"5,00","14,50","31,90","2,20",2.9,9.5
5,Antioquia,5145,Caramanta,1010402,Maíz,Maíz amarillo tradicional,2022,2022A,Transitorio,"10,00","12,00","13,42","1,12",1.2,2.0
5,Antioquia,5145,Caramanta,1010402,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"10,00","11,50","12,86","1,12",1.15,1.5
5,Antioquia,5145,Caramanta,1010402,Maíz,Maíz amarillo tradicional,2025,2025A,Transitorio,"8,00","9,00","10,07","1,12",1.125,1.0
5,Antioquia,5145,Caramanta,1010404,Maíz,Maíz blanco tradicional,2022,2022A,Transitorio,"8,00","16,50","18,46","1,12",2.0625,8.5
5,Antioquia,5145,Caramanta,1010404,Maíz,Maíz blanco tradicional,2023,2023A,Transitorio,"8,00","8,50","9,51","1,12",1.0625,0.5
5,Antioquia,5145,Caramanta,1010404,Maíz,Maíz blanco tradicional,2025,2025A,Transitorio,"7,50","8,50","9,51","1,12",1.1333333333333333,1.0
5,Antioquia,5145,Caramanta,1052901,Tomate,Tomate,2023,2023A,Transitorio,"5,00","6,50","97,50","15,00",1.3,1.5
5,Antioquia,5145,Caramanta,1052901,Tomate,Tomate,2024,2024A,Transitorio,"5,00","7,00","105,00","15,00",1.4,2.0
