Ciclo del cultivo,periodo_metodologico,registros,area_sembrada_promedio,area_cosechada_promedio,produccion_promedio,rendimiento_promedio
Permanente,2019-2021,26089,377.8696308789145,334.8640239181264,6571.923634481966,12.1339311587259
Permanente,2022-2025,38967,350.5011912644032,314.9830895373008,6435.449726178561,12.02636461621372
Transitorio,2019-2021,39756,158.03363919911462,151.07228116510717,1180.8733660328,9.97807601368347
Transitorio,2022-2025,61920,133.94705700904393,126.44280749354004,1011.6670457041344,9.458693475452197
