Año,Ciclo del cultivo,registros,cosechada_promedio,produccion_promedio,rendimiento_promedio
2020,Permanente,1,8.5,272.0,32.0
2022,Transitorio,827,152.5152237001209,961.7454050785973,6.205429262394197
2023,Transitorio,763,221.20640891218872,1342.8805897771954,5.818165137614679
2024,Transitorio,705,204.20015602836878,1101.8791205673758,5.6943262411347515
2025,Transitorio,707,274.74346534653466,1548.6244130127297,6.266831683168316
