Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,diferencia_ha,ratio_cosechada_sembrada
05,Antioquia,05004,Abriaquí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","3,00","12,00","4,00",1081001,0.0,3.0,3.0,inf
05,Antioquia,05004,Abriaquí,Hortalizas,Hortalizas de raíz,Zanahoria,Zanahoria,2025,2025A,Transitorio,"0,30","0,60","0,48","0,80",1053000,0.3,0.6,0.3,2.0
05,Antioquia,05021,Alejandría,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022A,Transitorio,"5,00","7,00","8,40","1,20",1010402,5.0,7.0,2.0,1.4
05,Antioquia,05021,Alejandría,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023A,Transitorio,"5,00","15,00","18,04","1,20",1010402,5.0,15.0,10.0,3.0
05,Antioquia,05021,Alejandría,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2024,2024B,Transitorio,"1,00","1,50","24,00","16,00",1052901,1.0,1.5,0.5,1.5
05,Antioquia,05021,Alejandría,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025A,Transitorio,"16,50","40,00","60,00","1,50",1060200,16.5,40.0,23.5,2.4242424242424243
05,Antioquia,05021,Alejandría,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022A,Transitorio,"3,00","7,00","70,00","10,00",1081001,3.0,7.0,4.0,2.3333333333333335
05,Antioquia,05021,Alejandría,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025A,Transitorio,"3,50","8,15","9,80","1,20",1010402,3.5,8.15,4.65,2.3285714285714287
05,Antioquia,05021,Alejandría,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"3,00","3,85","4,63","1,20",1010402,3.0,3.85,0.8500000000000001,1.2833333333333334
05,Antioquia,05021,Alejandría,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2025,2025B,Transitorio,"8,00","12,00","192,00","16,00",1052901,8.0,12.0,4.0,1.5
