metrica,promedio_ratio_anual_vs_A_B,mediana_ratio_anual_vs_A_B
Área sembrada,1.0740760125889435,0.6573275862068966
Área cosechada,0.9465921988880247,0.513157894736842
Producción,1.0496830889711526,0.6086409633105321
