Año,Periodo,registros
2019,2019,8007
2019,2019A,6753
2019,2019B,5676
2020,2020,8572
2020,2020A,6923
2020,2020B,6016
2021,2021,9527
2021,2021A,7654
2021,2021B,6717
2022,2022,9627
2022,2022A,7818
2022,2022B,7363
2023,2023,9669
2023,2023A,7833
2023,2023B,7407
2024,2024,9955
2024,2024A,8013
2024,2024B,7585
2025,2025,9929
2025,2025A,8071
2025,2025B,7617
