Código Dane municipio,Municipio,Código del cultivo,Cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento
5034,Andes,1052901,Tomate,2024,2024B,Transitorio,"7,00","8,70","435,00","50,00"
5034,Andes,1052901,Tomate,2025,2025B,Transitorio,"7,00","9,00","432,00","48,00"
5034,Andes,1081001,Yuca,2023,2023B,Transitorio,"45,00","50,00","600,00","12,00"
5036,Angelópolis,1010402,Maíz,2022,2022B,Transitorio,"4,00","28,00","23,49","0,84"
5036,Angelópolis,1010402,Maíz,2023,2023B,Transitorio,"4,00","27,00","22,65","0,84"
5036,Angelópolis,1010402,Maíz,2024,2024A,Transitorio,"17,00","21,00","17,62","0,84"
5036,Angelópolis,1010404,Maíz,2023,2023B,Transitorio,"5,00","5,80","4,87","0,84"
5036,Angelópolis,1010404,Maíz,2024,2024A,Transitorio,"4,00","8,00","6,71","0,84"
5036,Angelópolis,1081001,Yuca,2023,2023A,Transitorio,"21,00","27,00","270,00","10,00"
5036,Angelópolis,1081001,Yuca,2023,2023B,Transitorio,"15,00","15,70","157,00","10,00"
5036,Angelópolis,1081001,Yuca,2024,2024A,Transitorio,"15,00","21,00","210,00","10,00"
5038,Angostura,1060200,Frijol,2022,2022B,Transitorio,"30,00","121,00","302,50","2,50"
5038,Angostura,1060200,Frijol,2023,2023B,Transitorio,"25,00","55,00","110,00","2,00"
5038,Angostura,1060200,Frijol,2024,2024B,Transitorio,"15,00","53,00","106,00","2,00"
5038,Angostura,1060200,Frijol,2025,2025B,Transitorio,"10,00","106,00","148,25","1,40"
5038,Angostura,1010402,Maíz,2022,2022B,Transitorio,"10,00","33,00","115,50","3,50"
5038,Angostura,1010402,Maíz,2023,2023B,Transitorio,"20,00","67,00","201,00","3,00"
5038,Angostura,1010402,Maíz,2024,2024B,Transitorio,"20,00","67,00","134,00","2,00"
5038,Angostura,1010402,Maíz,2025,2025B,Transitorio,"10,00","57,00","114,00","2,00"
5038,Angostura,1010404,Maíz,2022,2022A,Transitorio,"33,50","39,00","136,50","3,50"
5038,Angostura,1010404,Maíz,2022,2022B,Transitorio,"20,00","33,00","115,50","3,50"
5038,Angostura,1052902,Tomate,2022,2022B,Transitorio,"3,00","6,00","648,00","108,00"
5038,Angostura,1052902,Tomate,2023,2023A,Transitorio,"1,00","4,00","380,00","95,00"
5038,Angostura,1081001,Yuca,2024,2024B,Transitorio,"0,00","0,50","2,50","5,00"
5040,Anorí,1060200,Frijol,2024,2024B,Transitorio,"6,00","49,00","41,65","0,85"
5040,Anorí,1060200,Frijol,2025,2025B,Transitorio,"20,00","70,00","44,06","0,63"
5040,Anorí,1010402,Maíz,2022,2022B,Transitorio,"10,00","50,00","35,00","0,70"
5040,Anorí,1010402,Maíz,2023,2023B,Transitorio,"20,00","75,00","56,25","0,75"
5040,Anorí,1010402,Maíz,2024,2024B,Transitorio,"17,00","67,00","50,25","0,75"
5040,Anorí,1010402,Maíz,2025,2025B,Transitorio,"25,00","69,00","51,75","0,75"
5040,Anorí,1010404,Maíz,2023,2023B,Transitorio,"10,00","18,00","13,50","0,75"
5040,Anorí,1010404,Maíz,2024,2024B,Transitorio,"0,00","12,00","9,00","0,75"
5040,Anorí,1010404,Maíz,2025,2025B,Transitorio,"5,00","15,00","11,25","0,75"
5040,Anorí,1081001,Yuca,2022,2022B,Transitorio,"55,00","70,00","840,00","12,00"
5040,Anorí,1081001,Yuca,2023,2023B,Transitorio,"70,00","95,00","1.140,00","12,00"
5040,Anorí,1081001,Yuca,2024,2024B,Transitorio,"50,00","84,00","1.008,00","12,00"
5040,Anorí,1081001,Yuca,2025,2025B,Transitorio,"50,00","90,00","1.080,00","12,00"
5042,Santa Fé de Antioquia,1060200,Frijol,2022,2022B,Transitorio,"15,00","24,50","34,30","1,40"
5042,Santa Fé de Antioquia,1060200,Frijol,2023,2023A,Transitorio,"12,00","15,00","21,00","1,40"
5042,Santa Fé de Antioquia,1060200,Frijol,2023,2023B,Transitorio,"0,00","12,00","16,80","1,40"
5042,Santa Fé de Antioquia,1060200,Frijol,2024,2024B,Transitorio,"0,00","12,00","16,80","1,40"
5042,Santa Fé de Antioquia,1060200,Frijol,2025,2025B,Transitorio,"0,00","11,50","16,10","1,40"
5042,Santa Fé de Antioquia,1010402,Maíz,2023,2023B,Transitorio,"0,00","12,00","14,40","1,20"
5042,Santa Fé de Antioquia,1010402,Maíz,2024,2024B,Transitorio,"0,00","12,00","14,40","1,20"
5042,Santa Fé de Antioquia,1010402,Maíz,2025,2025B,Transitorio,"0,00","14,00","16,80","1,20"
5042,Santa Fé de Antioquia,1052902,Tomate,2024,2024B,Transitorio,"0,00","1,00","50,00","50,00"
5044,Anzá,1060200,Frijol,2022,2022A,Transitorio,"12,00","70,00","84,00","1,20"
5044,Anzá,1060200,Frijol,2023,2023B,Transitorio,"1,00","5,50","5,50","1,00"
5044,Anzá,1060200,Frijol,2024,2024B,Transitorio,"1,00","4,50","4,50","1,00"
5044,Anzá,1060200,Frijol,2025,2025B,Transitorio,"1,00","3,50","3,50","1,00"
5044,Anzá,1010402,Maíz,2022,2022A,Transitorio,"12,00","28,00","42,00","1,50"
5044,Anzá,1010402,Maíz,2023,2023B,Transitorio,"4,00","20,00","30,00","1,50"
5044,Anzá,1010402,Maíz,2024,2024B,Transitorio,"4,00","20,00","30,00","1,50"
5044,Anzá,1010402,Maíz,2025,2025B,Transitorio,"5,00","10,00","15,00","1,50"
5044,Anzá,1010404,Maíz,2022,2022A,Transitorio,"10,00","43,00","64,50","1,50"
5044,Anzá,1010404,Maíz,2023,2023B,Transitorio,"1,00","3,00","4,50","1,50"
5044,Anzá,1010404,Maíz,2024,2024B,Transitorio,"1,00","4,50","6,75","1,50"
5044,Anzá,1010404,Maíz,2025,2025B,Transitorio,"1,00","4,50","6,75","1,50"
5045,Apartadó,1010102,Arroz,2022,2022B,Transitorio,"638,00","878,00","1.878,92","2,14"
5045,Apartadó,1010102,Arroz,2023,2023A,Transitorio,"726,00","758,00","1.713,84","2,26"
5045,Apartadó,1010102,Arroz,2025,2025A,Transitorio,"784,00","842,00","1.599,80","1,90"
5045,Apartadó,1010402,Maíz,2022,2022B,Transitorio,"369,00","654,00","981,00","1,50"
5045,Apartadó,1010402,Maíz,2024,2024B,Transitorio,"393,00","454,00","681,00","1,50"
5045,Apartadó,1010402,Maíz,2025,2025A,Transitorio,"476,00","488,20","732,30","1,50"
5045,Apartadó,1010402,Maíz,2025,2025B,Transitorio,"408,00","462,40","693,60","1,50"
5045,Apartadó,1010404,Maíz,2022,2022B,Transitorio,"540,00","829,00","1.243,50","1,50"
5045,Apartadó,1010404,Maíz,2025,2025A,Transitorio,"478,00","553,00","829,50","1,50"
5045,Apartadó,1081001,Yuca,2022,2022B,Transitorio,"0,00","394,00","4.334,00","11,00"
5045,Apartadó,1081001,Yuca,2023,2023B,Transitorio,"0,00","526,00","5.786,00","11,00"
5045,Apartadó,1081001,Yuca,2024,2024B,Transitorio,"0,00","448,00","4.928,00","11,00"
5045,Apartadó,1081001,Yuca,2025,2025B,Transitorio,"0,00","277,20","3.049,20","11,00"
5051,Arboletes,1080699,Ñame,2022,2022A,Transitorio,"0,00","309,00","4.326,00","14,00"
5051,Arboletes,1080699,Ñame,2023,2023A,Transitorio,"0,00","378,00","5.292,00","14,00"
5051,Arboletes,1080699,Ñame,2024,2024A,Transitorio,"100,00","350,00","4.900,00","14,00"
5051,Arboletes,1081001,Yuca,2022,2022A,Transitorio,"0,00","400,00","6.000,00","15,00"
5051,Arboletes,1081001,Yuca,2023,2023A,Transitorio,"0,00","529,00","7.935,00","15,00"
5051,Arboletes,1081001,Yuca,2024,2024A,Transitorio,"150,00","730,00","9.490,00","13,00"
