grupo_cultivo,subgrupo,cultivo,ciclo_cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
"Cultivos para condimentos, bebidas medicinales y aromáticas",Condimentos,Laurel,Permanente,112.80,35.40,3.19
"Cultivos para condimentos, bebidas medicinales y aromáticas",Medicinales,Stevia,Permanente,72.90,35.00,2.08
Frutales,"Demás frutales",Noni,Permanente,65.50,20.00,3.28
Frutales,"Demás frutales",Carambolo,Permanente,35.20,3.20,11.00
"Cultivos para condimentos, bebidas medicinales y aromáticas",Aromáticas,Toronjil,Permanente,21.00,3.50,6.00
"Cultivos para condimentos, bebidas medicinales y aromáticas",Aromáticas,Manzanilla,Permanente,7.94,8.60,0.92
Frutales,Mirtáceas,Pomarrosa,Permanente,6.00,1.50,4.00
"Cultivos para condimentos, bebidas medicinales y aromáticas",Medicinales,Estevia,Permanente,5.42,1.50,3.61
"Cultivos para condimentos, bebidas medicinales y aromáticas",Condimentos,Orégano,Permanente,3.00,3.00,1.00
Frutales,"Demás frutales",Morera,Permanente,2.50,5.00,0.50
