departamento,municipio,cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
Cundinamarca,Zipacón,Tomate,3536.00,101.00,35.01
Caldas,Belalcázar,"Otros cítricos",12495.00,357.00,35.00
Cesar,Valledupar,Caña,203280.00,5808.00,35.00
Antioquia,Pueblorrico,Caña,42700.00,1220.00,35.00
"Valle del Cauca","El Cairo",Pimentón,35.00,1.00,35.00
"Valle del Cauca",Restrepo,"Pepino Cohombro",1277.50,36.50,35.00
"Valle del Cauca",Restrepo,"Otros cítricos",1260.00,36.00,35.00
"Norte de Santander","Villa del Rosario",Papaya,350.00,10.00,35.00
Santander,Capitanejo,Sábila,350.00,10.00,35.00
Santander,Palmar,Tomate,70.00,2.00,35.00
Putumayo,"Valle del Guamuez","Otros cítricos",525.00,15.00,35.00
Bolívar,Mahates,Patilla,420.00,12.00,35.00
Meta,Mesetas,Piña,3325.00,95.00,35.00
"Norte de Santander",Cácota,Fresa,3115.00,89.00,35.00
"Norte de Santander","El Zulia",Tomate,11207.50,320.50,34.97
Cundinamarca,Sesquilé,Papa,488592.00,13977.00,34.96
Cauca,Timbiquí,Caña,85600.00,2450.00,34.94
"Valle del Cauca",Yumbo,Tomate,5494.60,157.44,34.90
Santander,Hato,Tomate,279.00,8.00,34.88
"Norte de Santander","El Zulia",Patilla,5167.00,148.20,34.87
Cundinamarca,Guasca,Fresa,10910.00,313.00,34.86
Boyacá,Samacá,Tomate,6133.34,176.00,34.85
Nariño,Colón,Caña,179250.00,5145.00,34.84
Antioquia,Donmatías,Caña,25721.00,739.00,34.81
Nariño,"Cuaspud Carlosama","Calabacín, calabaza",268.90,7.75,34.70
"Valle del Cauca",Candelaria,Tomate,2183.50,63.00,34.66
Nariño,Nariño,Caña,935.00,27.00,34.63
Nariño,Contadero,"Cebolla de bulbo",2077.00,60.00,34.62
"Valle del Cauca","La Victoria",Mandarina,16634.01,480.75,34.60
Boyacá,Otanche,Caña,31078.00,899.00,34.57
Putumayo,Colón,Tomate,25.92,0.75,34.56
Cundinamarca,"San Juan de Rioseco",Caña,53660.00,1553.00,34.55
Santander,"La Belleza",Tomate,3629.00,105.40,34.43
Córdoba,"Pueblo Nuevo",Piña,997.00,29.00,34.38
Santander,Vélez,Papa,9005.00,262.00,34.37
Cundinamarca,Arbeláez,Caña,8583.28,249.88,34.35
"Norte de Santander",Labateca,Caña,78420.00,2284.00,34.33
"Valle del Cauca",Cartago,Naranja,53738.42,1566.85,34.30
Antioquia,Turbo,Banano,2545377.80,74208.00,34.30
"Valle del Cauca","La Unión",Papaya,13490.96,393.82,34.26
Santander,Curití,Tomate,8554.30,250.00,34.22
"Norte de Santander",Hacarí,Tomate,15088.69,441.40,34.18
Putumayo,Santiago,Tomate,1764.30,51.73,34.11
"Valle del Cauca",Jamundí,Naranja,60855.85,1786.20,34.07
Cundinamarca,Ubalá,Caña,52980.00,1556.00,34.05
Boyacá,Sora,"Cebolla de bulbo",35980.00,1058.00,34.01
"Norte de Santander",Pamplona,Fresa,10132.00,298.00,34.00
Cundinamarca,Nemocón,Fresa,4237.00,125.00,33.90
Antioquia,Toledo,"Tomate de árbol",740.00,22.00,33.64
Sucre,Galeras,Caña,10528.80,313.00,33.64
"Valle del Cauca",Ginebra,Papaya,3462.00,103.00,33.61
Meta,"El Castillo",Caña,2050.00,61.00,33.61
Antioquia,Sonsón,"Cebolla de rama",36029.90,1077.00,33.45
Antioquia,"La Unión",Zanahoria,87273.69,2617.33,33.34
Casanare,Tauramena,Naranja,6030.00,181.00,33.31
Nariño,Túquerres,Caña,1445.20,43.40,33.30
Caquetá,"Belén de Los Andaquíes",Caña,37980.00,1141.00,33.29
Guaviare,"El Retorno",Caña,87625.00,2640.00,33.19
Quindío,Montenegro,Tomate,11837.20,356.80,33.18
Santander,Aguada,Caña,13100.00,395.00,33.16
"Valle del Cauca",Vijes,"Pepino Cohombro",1442.50,43.50,33.16
Cauca,Sucre,Caña,11072.40,334.00,33.15
Cundinamarca,Fusagasugá,Tomate,34026.50,1027.00,33.13
Risaralda,Guática,Repollo,175.50,5.30,33.11
Casanare,Yopal,Caña,6488.00,196.00,33.10
Casanare,"Paz de Ariporo",Piña,695.00,21.00,33.10
Boyacá,Briceño,Caña,25120.00,759.00,33.10
Santander,Capitanejo,Papaya,4103.20,124.00,33.09
Antioquia,Concordia,Tomate,42180.00,1277.00,33.03
Antioquia,Envigado,"Tomate de árbol",1086.10,32.90,33.01
Cundinamarca,Guachetá,Fresa,660.00,20.00,33.00
Cundinamarca,Madrid,Zanahoria,116466.25,3539.20,32.91
Santander,Suaita,Tomate,12180.16,371.80,32.76
Cauca,Corinto,Piña,1900.00,58.00,32.76
Caquetá,Valparaíso,Caña,11904.00,364.00,32.70
Boyacá,Duitama,Lechuga,5503.20,168.28,32.70
Bolívar,"El Carmen de Bolívar",Caña,4804.94,147.00,32.69
Meta,Uribe,Patilla,523.00,16.00,32.69
