departamento,municipio,cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
"Valle del Cauca","El Dovio",Tomate,44567.78,1011.30,44.07
Antioquia,Tarso,Caña,4968.30,112.80,44.05
Quindío,Salento,Tomate,2475.80,56.20,44.05
Antioquia,"Gómez Plata",Caña,53460.00,1215.00,44.00
"Valle del Cauca",Alcalá,Mandarina,19180.38,437.50,43.84
Antioquia,Guadalupe,"Cebolla de rama",696.00,15.90,43.77
Boyacá,Socotá,Caña,28665.00,657.00,43.63
Antioquia,"San Pedro de Los Milagros","Tomate de árbol",15782.40,362.20,43.57
Cundinamarca,Viotá,Caña,6356.00,146.00,43.53
Tolima,Alvarado,Piña,435.00,10.00,43.50
Cundinamarca,"San Antonio del Tequendama",Tomate,1219.00,28.10,43.38
Boyacá,Soatá,Caña,6665.50,153.70,43.37
Antioquia,"El Carmen de Viboral",Fresa,40481.25,935.00,43.30
Boyacá,Duitama,Repollo,5357.90,123.80,43.28
Casanare,Pore,Caña,3460.00,80.00,43.25
Santander,"San Andrés",Tomate,4973.00,115.00,43.24
"Valle del Cauca",Andalucía,Tomate,642.65,14.89,43.16
Antioquia,"El Carmen de Viboral",Caña,37075.00,859.50,43.14
"Valle del Cauca",Vijes,Papaya,10908.00,253.00,43.11
"Valle del Cauca",Florida,Tomate,16321.10,379.30,43.03
Antioquia,"San Rafael",Caña,166950.00,3882.00,43.01
Caquetá,Milán,Caña,98210.00,2285.00,42.98
Antioquia,Guarne,Lechuga,7339.00,171.00,42.92
Antioquia,"San Francisco",Caña,17980.00,419.00,42.91
Cundinamarca,Quipile,Caña,591310.00,13792.00,42.87
Tolima,"San Sebastián de Mariquita",Caña,632190.00,14756.00,42.84
Cauca,Suárez,Caña,45176.40,1055.00,42.82
Cauca,Miranda,Naranja,8815.00,207.00,42.58
Nariño,Leiva,Caña,3928.00,92.30,42.56
"Valle del Cauca","Santiago de Cali",Tomate,5352.60,125.80,42.55
Boyacá,Sogamoso,Tomate,2125.00,50.00,42.50
Cundinamarca,"La Palma",Caña,240451.00,5659.40,42.49
Sucre,"San Marcos",Caña,31420.00,741.00,42.40
Boyacá,Corrales,Tomate,10862.00,256.30,42.38
Antioquia,Nariño,Caña,323094.50,7639.50,42.29
Boyacá,Guayatá,Caña,22872.00,541.00,42.28
Caldas,Samaná,Caña,403660.00,9559.90,42.22
Nariño,Chachagüí,Tomate,1712.50,40.60,42.18
Nariño,Córdoba,Caña,2910.00,69.00,42.17
"Valle del Cauca","La Unión",Piña,404.00,9.60,42.08
Cundinamarca,Medina,Caña,5092.00,121.00,42.08
Cauca,Balboa,Caña,57570.00,1368.00,42.08
Cesar,"Agustín Codazzi",Caña,88792.00,2112.00,42.04
Cauca,"El Tambo",Caña,793547.83,18877.00,42.04
"Valle del Cauca",Bolívar,Melón,14699.00,350.00,42.00
Antioquia,Heliconia,Lechuga,92.40,2.20,42.00
Antioquia,Yarumal,Caña,68069.40,1620.70,42.00
Boyacá,Tenza,Tomate,18589.30,442.80,41.98
Boyacá,Macanal,Tomate,1646.50,39.25,41.95
Huila,Yaguará,Caña,650.00,15.50,41.94
Antioquia,Guadalupe,Caña,65959.00,1574.00,41.91
"Norte de Santander",Chinácota,Caña,7230.00,173.00,41.79
Meta,"Puerto Concordia",Piña,71405.50,1709.00,41.78
Cauca,Páez,Caña,106625.95,2552.40,41.77
Cundinamarca,"El Rosal",Zanahoria,62756.00,1503.00,41.75
Casanare,"Paz de Ariporo",Caña,2792.00,67.00,41.67
